user_seq,id_usuario,pais_residencia,cidade_residencia,latitude_base,longitude_base,perfil,device_principal,ticket_medio,renda_faixa,criado_em
1,user_00001,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-02
2,user_00002,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-03
3,user_00003,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-01-04
4,user_00004,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-05
5,user_00005,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-06
6,user_00006,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-01-07
7,user_00007,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-08
8,user_00008,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-09
9,user_00009,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-01-10
10,user_00010,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-11
11,user_00011,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-01-12
12,user_00012,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-01-13
13,user_00013,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-14
14,user_00014,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-15
15,user_00015,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-01-16
16,user_00016,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-17
17,user_00017,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-18
18,user_00018,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-01-19
19,user_00019,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-20
20,user_00020,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-21
21,user_00021,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-01-22
22,user_00022,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-01-23
23,user_00023,BR,Sao Paulo,-23.5505,-46.6333,CORPORATIVO,mobile,420,MEDIA_ALTA,2024-01-24
24,user_00024,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-01-25
25,user_00025,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-26
26,user_00026,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-27
27,user_00027,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-01-28
28,user_00028,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-29
29,user_00029,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-01-30
30,user_00030,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-01-31
31,user_00031,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-01
32,user_00032,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-02
33,user_00033,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,web,260,MEDIA,2024-02-03
34,user_00034,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-04
35,user_00035,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-05
36,user_00036,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-02-06
37,user_00037,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-07
38,user_00038,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-08
39,user_00039,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-02-09
40,user_00040,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-10
41,user_00041,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-11
42,user_00042,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-02-12
43,user_00043,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-13
44,user_00044,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-02-14
45,user_00045,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-02-15
46,user_00046,BR,Sao Paulo,-23.5505,-46.6333,CORPORATIVO,mobile,420,MEDIA_ALTA,2024-02-16
47,user_00047,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-17
48,user_00048,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-02-18
49,user_00049,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-19
50,user_00050,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-20
51,user_00051,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-02-21
52,user_00052,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-22
53,user_00053,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-23
54,user_00054,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-02-24
55,user_00055,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,mobile,260,MEDIA,2024-02-25
56,user_00056,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-26
57,user_00057,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-02-27
58,user_00058,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-28
59,user_00059,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-02-29
60,user_00060,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-03-01
61,user_00061,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-03-02
62,user_00062,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-03-03
63,user_00063,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,web,120,MEDIA,2024-03-04
64,user_00064,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-03-05
65,user_00065,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-03-06
66,user_00066,BR,Sao Paulo,-23.5505,-46.6333,VIAJANTE,web,260,MEDIA,2024-03-07
67,user_00067,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-03-08
68,user_00068,BR,Sao Paulo,-23.5505,-46.6333,PADRAO,mobile,120,MEDIA,2024-03-09
69,user_00069,BR,Sao Paulo,-23.5505,-46.6333,CORPORATIVO,web,420,MEDIA_ALTA,2024-03-10
70,user_00070,US,New York,40.7128,-74.0060,PADRAO,mobile,120,MEDIA,2024-03-11
71,user_00071,US,New York,40.7128,-74.0060,PADRAO,mobile,120,MEDIA,2024-03-12
72,user_00072,US,New York,40.7128,-74.0060,PADRAO,web,120,MEDIA,2024-03-13
73,user_00073,US,New York,40.7128,-74.0060,PADRAO,mobile,120,MEDIA,2024-03-14
74,user_00074,US,New York,40.7128,-74.0060,PADRAO,mobile,120,MEDIA,2024-03-15
75,user_00075,US,New York,40.7128,-74.0060,PADRAO,web,120,MEDIA,2024-03-16
76,user_00076,US,New York,40.7128,-74.0060,PADRAO,mobile,120,MEDIA,2024-03-17
77,user_00077,US,New York,40.7128,-74.0060,VIAJANTE,mobile,260,MEDIA,2024-03-18
78,user_00078,GB,London,51.5074,-0.1278,PADRAO,web,120,MEDIA,2024-03-19
79,user_00079,GB,London,51.5074,-0.1278,PADRAO,mobile,120,MEDIA,2024-03-20
80,user_00080,GB,London,51.5074,-0.1278,PADRAO,mobile,120,MEDIA,2024-03-21
81,user_00081,GB,London,51.5074,-0.1278,PADRAO,web,120,MEDIA,2024-03-22
82,user_00082,GB,London,51.5074,-0.1278,PADRAO,mobile,120,MEDIA,2024-03-23
83,user_00083,FR,Paris,48.8566,2.3522,PADRAO,mobile,120,MEDIA,2024-03-24
84,user_00084,FR,Paris,48.8566,2.3522,PADRAO,web,120,MEDIA,2024-03-25
85,user_00085,FR,Paris,48.8566,2.3522,PADRAO,mobile,120,MEDIA,2024-03-26
